joint_number,J. len [ft],Wt [in],dist_to_us_weld,dist_to_ds_weld,distance_along_line,feature_type,ID/OD,depth_percent,Depth [in],OD Reduction [%],OD Reduction [in],Comments,Anomalies per Joint,Tool Velocity [ft/s],Elevation [ft],Seam Position (TFI),Tool   (TFI),Seam Anomaly  (TFI),MOP [PSI],SMYS [PSI],Seam Type,Pdesign [PSI],B31G Psafe [PSI],B31G Pburst [PSI],Mod B31G Psafe [PSI],Mod B31G Pburst [PSI],Effective Area Psafe [PSI],Effective Area Pburst [PSI],ERF,RPR,run_year,row_index,distance_raw_m,dist_to_us_weld_m,clock_position_deg,length_mm,width_mm,distance_corrected_m
2960.0,,0.344,-31.02,9.18,10587.15,metal loss,External,12.0,0.041,,,,,0.7,153.41,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,2015,354,3226.96332,-9.454896,181.0,14.985999999999999,36.068,3226.96332
2960.0,,0.344,-31.2,8.99,10587.34,metal loss,External,20.0,0.069,,,,,0.7,153.41,,MFL-A/XT,,1160.0,65000.0,,1342.0,1473.71,2046.21,1545.78,2146.28,1545.92,2146.48,0.75,1.85,2015,355,3227.021232,-9.50976,131.5,11.937999999999999,32.004,3227.021232
2960.0,,0.344,-31.42,8.78,10587.56,metal loss,External,13.0,0.045,,,,,0.7,153.41,,MFL-A/XT,,1160.0,65000.0,,1342.0,1474.18,2046.86,,,,,,,2015,356,3227.088288,-9.576816,137.5,13.97,24.892,3227.088288
2960.0,,0.344,-31.61,8.59,10587.75,metal loss,External,10.0,0.034,,,,,0.7,153.41,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,2015,357,3227.1462,-9.634728,128.5,29.971999999999998,27.94,3227.1462
2960.0,,0.344,-31.78,8.41,10587.92,metal loss,External,13.0,0.045,,,,,0.7,153.41,,MFL-A/XT,,1160.0,65000.0,,1342.0,1474.95,2047.93,,,,,,,2015,358,3227.1980160000003,-9.686544000000001,130.5,10.921999999999999,30.987999999999996,3227.1980160000003
2960.0,,0.344,-31.84,8.36,10587.98,metal loss,External,22.0,0.076,,,,,0.7,153.41,,MFL-A/XT,,1160.0,65000.0,,1342.0,1460.62,2028.03,1531.04,2125.81,1532.23,2127.47,0.76,1.83,2015,359,3227.216304,-9.704832,128.0,29.971999999999998,56.13399999999999,3227.216304
2960.0,,0.344,-32.06,8.13,10588.2,metal loss,External,13.0,0.045,,,,,0.7,153.41,,MFL-A/XT,,1160.0,65000.0,,1342.0,1470.49,2041.74,,,,,,,2015,360,3227.2833600000004,-9.771888,123.0,23.875999999999998,42.925999999999995,3227.2833600000004
2960.0,,0.344,-32.33,7.87,10588.47,cluster,External,45.0,0.155,,,,,0.7,153.4,,,,1160.0,65000.0,,1342.0,1396.33,1938.77,1450.57,2014.08,1450.79,2014.39,0.8,1.74,2015,361,3227.365656,-9.854184,127.0,46.99,60.198,3227.365656
2960.0,,0.344,-32.61,7.58,10588.75,metal loss,External,16.0,0.055,,,,,0.7,153.4,,MFL-A/XT,,1160.0,65000.0,,1342.0,1474.07,2046.71,,,,,,,2015,362,3227.451,-9.939528000000001,132.5,12.953999999999999,50.038,3227.451
2960.0,,0.344,-32.76,7.44,10588.9,metal loss,External,19.0,0.065,,,,,0.7,153.4,,MFL-A/XT,,1160.0,65000.0,,1342.0,1473.97,2046.57,,,,,,,2015,363,3227.49672,-9.985248,135.0,11.937999999999999,23.114,3227.49672
2960.0,,0.344,-32.89,7.3,10589.03,metal loss,External,20.0,0.069,,,,,0.7,153.4,,MFL-A/XT,,1160.0,65000.0,,1342.0,1462.49,2030.63,1533.22,2128.84,1534.02,2129.95,0.76,1.84,2015,364,3227.5363440000006,-10.024872,138.5,29.971999999999998,60.959999999999994,3227.5363440000006
2960.0,,0.344,-33.3,6.9,10589.43,metal loss,External,10.0,0.034,,,,,0.7,153.4,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,2015,365,3227.658264,-10.14984,176.0,41.91,56.13399999999999,3227.658264
2960.0,,0.344,-39.2,0.99,10595.34,metal loss,External,13.0,0.045,,,Recoat,,0.7,153.39,,MFL-A/XT,,1160.0,65000.0,,1342.0,1474.74,2047.64,,,,,,,2015,367,3229.459632,-11.948160000000001,196.0,11.937999999999999,25.907999999999998,3229.459632
2960.0,,0.344,-39.34,0.86,10595.48,metal loss,External,35.0,0.12,,,Recoat,,0.7,153.39,,MFL-A/XT,,1160.0,65000.0,,1342.0,1455.43,2020.83,1524.43,2116.63,1527.47,2120.86,0.76,1.82,2015,368,3229.502304,-11.990832000000001,192.5,25.907999999999998,66.03999999999999,3229.502304
