weld_uid_prev,weld_uid_later,distance_prev_m,distance_later_m,segment_id,scale,offset,segment_length_prev_m,segment_length_later_m,align_flag
W0,W0,8.744712000000002,-0.762,0,2.2393992932862172,10.4511342614841,3.090671999999998,1.3801344000000002,
W1,W1,11.835384,0.6181344000000001,1,3.2746866065537725,9.811187559269847,4.5384720000000005,1.3859255999999998,
W2,W2,16.373856,2.00406,2,13.972982334603396,-11.62883897748528,12.295632000000001,0.8799576,
W3,W3,28.669488,2.8840176,3,0.787060621497708,26.399591315333673,2.825496000000001,3.5899343999999997,
W4,W4,31.494984000000002,6.473952,4,1.1194641880809164,24.24762658064518,2.496311999999996,2.2299168000000007,
W5,W5,33.991296,8.7038688,5,1.6091954022988506,19.985070344827584,5.291328,3.2881824,
W6,W6,39.282624,11.9920512,6,0.9898659692710049,27.41210061536448,4.614672000000006,4.661916,
W7,W7,43.897296000000004,16.6539672,7,0.7897366711637431,30.74504738180184,9.634727999999996,12.199924800000002,
W8,W8,53.532024,28.853892000000002,8,4.102590355277976,-64.84367503143235,12.213336000000005,2.976981600000002,
W9,W9,65.74536,31.830873600000004,9,4.95557749259625,-91.99500078183618,12.240768000000003,2.4700992,
W10,W10,77.98612800000001,34.300972800000004,10,0.7736237856932595,51.45007956950248,4.005071999999998,5.177027999999993,
W11,W11,81.9912,39.4780008,11,2.648309241938645,-22.558754371901202,12.341352,4.660087200000007,
W12,W12,94.332552,44.138088,12,1.2698011192968017,38.28595845397927,12.240767999999989,9.639909600000003,
W13,W13,106.57332,53.777997600000006,13,0.24138446960251458,93.59214657303869,2.950464000000011,12.223089599999994,
W14,W14,109.523784,66.0010872,14,0.43896227121775816,80.5517968598467,5.358384000000001,12.206935200000004,
W15,W15,114.88216800000001,78.2080224,15,0.5643725897359816,70.74370385998235,2.319527999999991,4.109923199999997,
W16,W16,117.201696,82.3179456,16,0.5815373115734404,69.33073922152728,7.114032000000009,12.233148,
W17,W17,124.31572800000001,94.5510936,17,0.2365151439548916,101.95296248610357,2.889503999999988,12.216993599999995,
W18,W18,127.205232,106.7680872,18,1.2151874337477153,-2.538005890720285,3.8435280000000205,3.162909600000006,
W19,W19,131.04876000000002,109.9309968,19,0.5174948544545674,74.1600348109385,2.682239999999979,5.1831240000000065,
W20,W20,133.731,115.11412080000001,20,0.9141813755325634,28.495814703834313,2.289048000000008,2.503932000000006,
W21,W21,136.020048,117.61805280000002,21,1.739508210965336,-68.57752060335443,12.204192000000006,7.015886399999985,
W22,W22,148.22424,124.6339392,22,3.9091622523052596,-338.99005047674876,12.14627999999999,3.107131200000012,
W23,W23,160.37052,127.74107040000001,23,3.3071322190964807,-262.0860896217118,12.182856000000015,3.6838127999999983,
W24,W24,172.55337600000001,131.4248832,24,4.297689414293396,-392.269953303386,12.188952,2.8361639999999966,
W25,W25,184.74232800000001,134.2610472,25,4.184992669598824,-377.1391703446617,9.570719999999994,2.2869144000000006,
W26,W26,194.313048,136.5479616,26,0.23121819814426708,162.74067435857543,2.825495999999987,12.220041600000002,
W27,W27,197.138544,148.7680032,27,0.27843662988553336,155.71608255419176,2.468880000000013,8.86693679999999,
W28,W28,199.607424,157.63494,28,2.4050435865504345,-179.51147746326254,4.7091600000000255,1.9580352000000119,
W29,W29,204.31658400000003,159.5929752,29,1.6350053361792745,-56.6187820687266,2.3347679999999684,1.4279879999999991,
W30,W30,206.651352,161.0209632,30,0.22152212740622979,170.98164567493575,2.7218639999999823,12.28709760000001,
W31,W31,209.37321599999999,173.30806080000002,31,0.25838441221906855,164.59311457736538,3.160776000000027,12.23284319999999,
W32,W32,212.533992,185.540904,32,1.275604619998723,-24.142842341139556,12.185903999999994,9.5530416,
W33,W33,224.719896,195.0939456,33,1.112152452358648,7.745685960635342,3.255264000000011,2.926994399999984,
W34,W34,227.97516000000002,198.02094,34,0.7583625166042628,77.80350160125829,1.9141439999999932,2.524048800000031,
W35,W35,229.889304,200.54498880000003,35,2.034214204885845,-178.06216093563276,9.31468799999999,4.579010399999987,
W36,W36,239.203992,205.12399920000001,36,4.597449908925308,-703.8433194404349,11.539727999999997,2.5100280000000055,
W37,W37,250.74372,207.63402720000002,37,4.566282913484597,-697.371990661356,12.210288000000048,2.674010399999986,
W38,W38,262.95400800000004,210.3080376,38,3.895320556474377,-556.2632140550662,12.204191999999978,3.1330391999999847,
W39,W39,275.1582,213.4410768,39,1.0022716493172512,61.23225992361395,12.237719999999968,12.209983200000039,
W40,W40,287.39592,225.65106000000003,40,1.0349040139616188,53.868732251305886,3.6149280000000203,3.493007999999975,
W41,W41,291.010848,229.144068,41,4.970247933884293,-847.891982538842,9.165336000000025,1.8440400000000068,
W42,W42,300.17618400000003,230.988108,42,0.4299010674303509,200.87414980708286,4.026407999999947,9.365894400000002,
W43,W43,304.202592,240.3540024,43,1.065510953727439,48.10276967056882,12.289535999999998,11.533936799999992,
W44,W44,316.492128,251.8879392,44,0.9956989781965611,65.68756431852248,12.20724000000007,12.259970399999986,
W45,W45,328.69936800000005,264.1479096,45,1.0001995908387773,64.49873689716173,12.219431999999983,12.216993600000023,
W46,W46,340.91880000000003,276.3649032,46,1.0000249444984892,64.54700301608966,12.219431999999983,12.219127200000003,
W47,W47,353.138232,288.5840304,47,3.2035426474108473,-571.3530167481084,12.237720000000024,3.8200583999999935,
W48,W48,365.37595200000004,292.4040888,48,1.3530462928621922,-30.26031636858727,12.231623999999954,9.04006320000002,
W49,W49,377.607576,301.44415200000003,49,2.9166363834581226,-501.59540530388074,12.23162400000001,4.193743199999972,
